keys,en,ja,zh
GUILD_KNIGHT_KILT_PLUS,Guild Knight Kilt+,ギルドナイトＧコート,公会骑士Ｇ围腰
GUILD_KNIGHT_KILT_S,Guild Knight Kilt S,ギルドナイトＳコート,公会骑士Ｓ围腰
GUILD_KNIGHT_MASK,Guild Knight Mask,ギルドナイトマスク,公会骑士面具
GUILD_KNIGHT_MASK_PLUS,Guild Knight Mask+,ギルドナイトＧマスク,公会骑士Ｇ面具
GUILD_KNIGHT_MASK_S,Guild Knight Mask S,ブルーＳピアス,苍流Ｓ耳饰
GUILD_KNIGHT_SLEEVES,Guild Knight Sleeves,ギルドナイトカフス,公会骑士袖扣
GUILD_KNIGHT_SLEEVES_PLUS,Guild Knight Sleeves+,ギルドナイトＧカフス,公会骑士Ｇ袖扣
GUILD_KNIGHT_SLEEVES_S,Guild Knight Sleeves S,ギルドナイトＳカフス,公会骑士Ｓ袖扣
GUILD_KNIGHT_SUIT,Guild Knight Suit,ギルドナイトスーツ,公会骑士制服
GUILD_KNIGHT_SUIT_PLUS,Guild Knight Suit+,ギルドナイトＧスーツ,公会骑士Ｇ制服
GUILD_KNIGHT_SUIT_S,Guild Knight Suit S,ギルドナイトＳスーツ,公会骑士Ｓ制服
GUILD_KNIGHT_TIGHTS,Guild Knight Tights,ギルドナイトタイツ,公会骑士紧身裤
GUILD_KNIGHT_TIGHTS_PLUS,Guild Knight Tights+,ギルドナイトＧタイツ,公会骑士Ｇ紧身裤
GUILD_KNIGHT_TIGHTS_S,Guild Knight Tights S,ギルドナイトＳタイツ,公会骑士Ｓ紧身裤
GUILD_KNIGHT_VEST,Guild Knight Vest,ギルドナイトベスト,公会骑士马甲
GUILD_KNIGHT_VEST_PLUS,Guild Knight Vest+,ギルドナイトＧベスト,公会骑士Ｇ马甲
GUILD_KNIGHT_VEST_S,Guild Knight Vest S,ギルドナイトＳベスト,公会骑士Ｓ马甲
GUILD_TICKET,Guild Ticket,ギルドチケット,公会券
GUILDMASTER_PIERCING,Guildmaster Piercing,ギルドマスターピアス,公会首领耳饰
GUNNER,Gunner,ガンナー,射手
GUNNER_TICKET,Gunner Ticket,ガンナーチケット,射手券
GUNPOWDER,Gunpowder,爆薬,爆药
GYPCEROS_CAP,Gypceros Cap,ゲリョスキャップ,毒怪鸟软帽
GYPCEROS_CAP_PLUS,Gypceros Cap+,ゲリョスＧキャップ,毒怪鸟Ｇ软帽
GYPCEROS_CAP_S,Gypceros Cap S,ゲリョスＳキャップ,毒怪鸟Ｓ软帽
GYPCEROS_CAP_U,Gypceros Cap U,ゲリョスＵキャップ,毒怪鸟Ｕ软帽
GYPCEROS_COAT,Gypceros Coat,ゲリョスコート,毒怪鸟围腰
GYPCEROS_COAT_PLUS,Gypceros Coat+,ゲリョスＧコート,毒怪鸟Ｇ围腰
GYPCEROS_COAT_S,Gypceros Coat S,ゲリョスＳコート,毒怪鸟Ｓ围腰
GYPCEROS_COAT_U,Gypceros Coat U,ゲリョスＵコート,毒怪鸟Ｕ围腰
GYPCEROS_GREAVES,Gypceros Greaves,ゲリョスグリーヴ,毒怪鸟胫甲
GYPCEROS_GREAVES_PLUS,Gypceros Greaves+,ゲリョスＧグリーヴ,毒怪鸟Ｇ胫甲
GYPCEROS_GREAVES_S,Gypceros Greaves S,ゲリョスＳグリーヴ,毒怪鸟Ｓ胫甲
GYPCEROS_GREAVES_U,Gypceros Greaves U,ゲリョスＵグリーヴ,毒怪鸟Ｕ胫甲
GYPCEROS_GUARDS,Gypceros Guards,ゲリョスガード,毒怪鸟护臂
GYPCEROS_GUARDS_PLUS,Gypceros Guards+,ゲリョスＧガード,毒怪鸟Ｇ护臂
GYPCEROS_GUARDS_S,Gypceros Guards S,ゲリョスＳガード,毒怪鸟Ｓ护臂
GYPCEROS_GUARDS_U,Gypceros Guards U,ゲリョスＵガード,毒怪鸟Ｕ护臂
GYPCEROS_HELM,Gypceros Helm,ゲリョスヘルム,毒怪鸟头铠
GYPCEROS_HELM_PLUS,Gypceros Helm+,ゲリョスＧヘルム,毒怪鸟Ｇ头铠
GYPCEROS_HELM_S,Gypceros Helm S,ゲリョスＳヘルム,毒怪鸟Ｓ头铠
GYPCEROS_HELM_U,Gypceros Helm U,ゲリョスＵヘルム,毒怪鸟Ｕ头铠
GYPCEROS_LEGGINGS,Gypceros Leggings,ゲリョスレギンス,毒怪鸟护胫
GYPCEROS_LEGGINGS_PLUS,Gypceros Leggings+,ゲリョスＧレギンス,毒怪鸟Ｇ护胫
GYPCEROS_LEGGINGS_S,Gypceros Leggings S,ゲリョスＳレギンス,毒怪鸟Ｓ护胫
GYPCEROS_LEGGINGS_U,Gypceros Leggings U,ゲリョスＵレギンス,毒怪鸟Ｕ护胫
GYPCEROS_MAIL,Gypceros Mail,ゲリョスメイル,毒怪鸟铠甲
GYPCEROS_MAIL_PLUS,Gypceros Mail+,ゲリョスＧメイル,毒怪鸟Ｇ铠甲
GYPCEROS_MAIL_S,Gypceros Mail S,ゲリョスＳメイル,毒怪鸟Ｓ铠甲
GYPCEROS_MAIL_U,Gypceros Mail U,ゲリョスＵメイル,毒怪鸟Ｕ铠甲
GYPCEROS_TASSET,Gypceros Tasset,ゲリョスフォールド,毒怪鸟腰甲
GYPCEROS_TASSET_PLUS,Gypceros Tasset+,ゲリョスＧフォールド,毒怪鸟Ｇ腰甲
GYPCEROS_TASSET_S,Gypceros Tasset S,ゲリョスＳフォールド,毒怪鸟Ｓ腰甲
GYPCEROS_TASSET_U,Gypceros Tasset U,ゲリョスＵフォールド,毒怪鸟Ｕ腰甲
GYPCEROS_VAMBRACES,Gypceros Vambraces,ゲリョスアーム,毒怪鸟臂甲
GYPCEROS_VAMBRACES_PLUS,Gypceros Vambraces+,ゲリョスＧアーム,毒怪鸟Ｇ臂甲
GYPCEROS_VAMBRACES_S,Gypceros Vambraces S,ゲリョスＳアーム,毒怪鸟Ｓ臂甲
GYPCEROS_VAMBRACES_U,Gypceros Vambraces U,ゲリョスＵアーム,毒怪鸟Ｕ臂甲
GYPCEROS_VEST,Gypceros Vest,ゲリョスレジスト,毒怪鸟轻甲
GYPCEROS_VEST_PLUS,Gypceros Vest+,ゲリョスＧレジスト,毒怪鸟Ｇ轻甲
GYPCEROS_VEST_S,Gypceros Vest S,ゲリョスＳレジスト,毒怪鸟Ｓ轻甲
GYPCEROS_VEST_U,Gypceros Vest U,ゲリョスＵレジスト,毒怪鸟Ｕ轻甲
HAIR_1,Hair 1,,发型1
HAIR_10,Hair 10,,发型10
HAIR_2,Hair 2,,发型2
HAIR_3,Hair 3,,发型3
HAIR_4,Hair 4,,发型4
HAIR_5,Hair 5,,发型5
HAIR_6,Hair 6,,发型6
HAIR_7,Hair 7,,发型7
HAIR_8,Hair 8,,发型8
HAIR_9,Hair 9,,发型9
HAIR_COLOR,Hair Color,,发色
HAIR_OPTION,Hair,,发型
HAMMER_TICKET,Hammer Ticket,ハンマーチケット,大锤券
HANDICRAFT,Handicraft,匠,匠
HEAD,Head,頭,头
HEADGEAR,Headgear,兜,头装备
HEALTH_MINUS_10,Health -10,体力-10,体力-10
HEALTH_MINUS_20,Health -20,体力-20,体力-20
HEALTH_MINUS_30,Health -30,体力-30,体力-30
HEALTH_PLUS_10,Health +10,体力+10,体力+10
HEALTH_PLUS_20,Health +20,体力+20,体力+20
HEALTH_PLUS_30,Health +30,体力+30,体力+30
HEALTH_RECOVERY_ITEMS_IMPROVED,Health Recovery Items Improved,体力回復アイテム強化,体力回复道具强化
HEALTH_SKILL,Health,体力,体力
HEALTH_STAT,Health,体力,体力
HEAT_DOUBLED,Heat Doubled,暑さ倍加【×2】,暑热倍加【×2】
HEAT_HALVED,Heat Halved,暑さ半減,暑热半减
HEAT_NEGATED_MH1,Anti-Heat,暑さ無効,暑热无效
HEAT_NEGATED_MHG,Heat Negated,暑さ無効,暑热无效
HEAT_RES,Heat Res,耐暑,耐暑
HEAT_X_1_5,Heat x1.5,暑さ倍加【×1.5】,暑热倍加【×1.5】
HEAVENS_GAUNTLET,Heaven's Gauntlet,天上天下無双手甲 ,天上天下无双手甲
HELP,Help,,帮助
HELP_COPY,Rotate the hunter with J and L. Video and Audio settings can be found in the Options dropdown. Equipped armor and custom armor sets will be saved automatically.,,
HI_METAL_CAP,Hi-Metal Cap,ハイメタキャップ,精炼矿石软帽
HI_METAL_CAP_PLUS,Hi-Metal Cap+,ハイメタＧキャップ,精炼矿石Ｇ软帽
HI_METAL_CAP_S,Hi-Metal Cap S,ハイメタＳキャップ,精炼矿石Ｓ软帽
HI_METAL_CAP_U,Hi-Metal Cap U,ハイメタＵキャップ,精炼矿石Ｕ软帽
HI_METAL_COAT,Hi-Metal Coat,ハイメタコート,精炼矿石围腰
HI_METAL_COAT_PLUS,Hi-Metal Coat+,ハイメタＧコート,精炼矿石Ｇ围腰
HI_METAL_COAT_S,Hi-Metal Coat S,ハイメタＳコート,精炼矿石Ｓ围腰
HI_METAL_COAT_U,Hi-Metal Coat U,ハイメタＵコート,精炼矿石Ｕ围腰
HI_METAL_GREAVES,Hi-Metal Greaves,ハイメタグリーヴ,精炼矿石胫甲
HI_METAL_GREAVES_PLUS,Hi-Metal Greaves+,ハイメタＧグリーヴ,精炼矿石Ｇ胫甲
HI_METAL_GREAVES_S,Hi-Metal Greaves S,ハイメタＳグリーヴ,精炼矿石Ｓ胫甲
HI_METAL_GREAVES_U,Hi-Metal Greaves U,ハイメタＵグリーヴ,精炼矿石Ｕ胫甲
HI_METAL_GUARDS,Hi-Metal Guards,ハイメタガード,精炼矿石护臂
HI_METAL_GUARDS_PLUS,Hi-Metal Guards+,ハイメタＧガード,精炼矿石Ｇ护臂
HI_METAL_GUARDS_S,Hi-Metal Guards S,ハイメタＳガード,精炼矿石Ｓ护臂
HI_METAL_GUARDS_U,Hi-Metal Guards U,ハイメタＵガード,精炼矿石Ｕ护臂
HI_METAL_HELM,Hi-Metal Helm,ハイメタヘルム,精炼矿石头铠
HI_METAL_HELM_PLUS,Hi-Metal Helm+,ハイメタＧヘルム,精炼矿石Ｇ头铠
HI_METAL_HELM_S,Hi-Metal Helm S,ハイメタＳヘルム,精炼矿石Ｓ头铠
HI_METAL_HELM_U,Hi-Metal Helm U,ハイメタＵヘルム,精炼矿石Ｕ头铠
HI_METAL_LEGGINGS,Hi-Metal Leggings,ハイメタレギンス,精炼矿石护胫
HI_METAL_LEGGINGS_PLUS,Hi-Metal Leggings+,ハイメタＧレギンス,精炼矿石Ｇ护胫
HI_METAL_LEGGINGS_S,Hi-Metal Leggings S,ハイメタＳレギンス,精炼矿石Ｓ护胫
HI_METAL_LEGGINGS_U,Hi-Metal Leggings U,ハイメタＵレギンス,精炼矿石Ｕ护胫
HI_METAL_MAIL,Hi-Metal Mail,ハイメタメイル,精炼矿石铠甲
HI_METAL_MAIL_PLUS,Hi-Metal Mail+,ハイメタＧメイル,精炼矿石Ｇ铠甲
HI_METAL_MAIL_S,Hi-Metal Mail S,ハイメタＳメイル,精炼矿石Ｓ铠甲
HI_METAL_MAIL_U,Hi-Metal Mail U,ハイメタＵメイル,精炼矿石Ｕ铠甲
HI_METAL_TASSET,Hi-Metal Tasset,ハイメタフォールド,精炼矿石腰甲
HI_METAL_TASSET_PLUS,Hi-Metal Tasset+,ハイメタＧフォールド,精炼矿石Ｇ腰甲
HI_METAL_TASSET_S,Hi-Metal Tasset S,ハイメタＳフォールド,精炼矿石Ｓ腰甲
HI_METAL_TASSET_U,Hi-Metal Tasset U,ハイメタＵフォールド,精炼矿石Ｕ腰甲
HI_METAL_VAMBRACES,Hi-Metal Vambraces,ハイメタアーム,精炼矿石臂甲
HI_METAL_VAMBRACES_PLUS,Hi-Metal Vambraces+,ハイメタＧアーム,精炼矿石Ｇ臂甲
HI_METAL_VAMBRACES_S,Hi-Metal Vambraces S,ハイメタＳアーム,精炼矿石Ｓ臂甲
HI_METAL_VAMBRACES_U,Hi-Metal Vambraces U,ハイメタＵアーム,精炼矿石Ｕ臂甲
HI_METAL_VEST,Hi-Metal Vest,ハイメタレジスト,精炼矿石轻甲
HI_METAL_VEST_PLUS,Hi-Metal Vest+,ハイメタＧレジスト,精炼矿石Ｇ轻甲
HI_METAL_VEST_S,Hi-Metal Vest S,ハイメタＳレジスト,精炼矿石Ｓ轻甲
HI_METAL_VEST_U,Hi-Metal Vest U,ハイメタＵレジスト,精炼矿石Ｕ轻甲
HIDE_BELT,Hide Belt,ハイドベルト,韧皮腰带
HIDE_BELT_PLUS,Hide Belt+,ハイドＧベルト,韧皮Ｇ腰带
HIDE_BELT_S,Hide Belt S,ハイドＳベルト,韧皮Ｓ腰带
HIGH_SPEED_DAMAGE_RECOVERY,High Speed Damage Recovery,ダメージ高速回復,伤害高速回复
HORNET_CAP,Hornet Cap,タロスキャップ,爬虫软帽
HORNET_CAP_PLUS,Hornet Cap+,タロスＧキャップ,爬虫Ｇ软帽
HORNET_CAP_S,Hornet Cap S,タロスＳキャップ,爬虫Ｓ软帽
HORNET_COAT,Hornet Coat,タロスコート,爬虫围腰
HORNET_COAT_PLUS,Hornet Coat+,タロスＧコート,爬虫Ｇ围腰
HORNET_COAT_S,Hornet Coat S,タロスＳコート,爬虫Ｓ围腰
HORNET_GREAVES,Hornet Greaves,タロスグリーヴ,爬虫胫甲
HORNET_GREAVES_PLUS,Hornet Greaves+,タロスＧグリーヴ,爬虫Ｇ胫甲
HORNET_GREAVES_S,Hornet Greaves S,タロスＳグリーヴ,爬虫Ｓ胫甲
HORNET_GUARDS,Hornet Guards,タロスガード,爬虫护臂
HORNET_GUARDS_PLUS,Hornet Guards+,タロスＧガード,爬虫Ｇ护臂
HORNET_GUARDS_S,Hornet Guards S,タロスＳガード,爬虫Ｓ护臂
HORNET_HELM,Hornet Helm,タロスヘルム,爬虫头铠
HORNET_HELM_PLUS,Hornet Helm+,タロスＧヘルム,爬虫Ｇ头铠
HORNET_HELM_S,Hornet Helm S,タロスＳヘルム,爬虫Ｓ头铠
HORNET_LEGGINGS,Hornet Leggings,タロスレギンス,爬虫护胫
HORNET_LEGGINGS_PLUS,Hornet Leggings+,タロスＧレギンス,爬虫Ｇ护胫
HORNET_LEGGINGS_S,Hornet Leggings S,タロスＳレギンス,爬虫Ｓ护胫
HORNET_MAIL,Hornet Mail,タロスメイル,爬虫铠甲
HORNET_MAIL_PLUS,Hornet Mail+,タロスＧメイル,爬虫Ｇ铠甲
HORNET_MAIL_S,Hornet Mail S,タロスＳメイル,爬虫Ｓ铠甲
HORNET_TASSET,Hornet Tasset,タロスフォールド,爬虫腰甲
HORNET_TASSET_PLUS,Hornet Tasset+,タロスＧフォールド,爬虫Ｇ腰甲
HORNET_TASSET_S,Hornet Tasset S,タロスＳフォールド,爬虫Ｓ腰甲
HORNET_VAMBRACES,Hornet Vambraces,タロスアーム,爬虫臂甲
HORNET_VAMBRACES_PLUS,Hornet Vambraces+,タロスＧアーム,爬虫Ｇ臂甲
HORNET_VAMBRACES_S,Hornet Vambraces S,タロスＳアーム,爬虫Ｓ臂甲
HORNET_VEST,Hornet Vest,タロスレジスト,爬虫轻甲
HORNET_VEST_PLUS,Hornet Vest+,タロスＧレジスト,爬虫Ｇ轻甲
HORNET_VEST_S,Hornet Vest S,タロスＳレジスト,爬虫Ｓ轻甲
HORNETAUR_BLADEFIN,Hornetaur Bladefin,カンタロスの刃羽,爬虫的刃羽
HORNETAUR_CARAPACE,Hornetaur Carapace,カンタロスの堅殻,爬虫的坚壳
HORNETAUR_HEAD,Hornetaur Head,カンタロスの頭,爬虫的头
HORNETAUR_RAZORWING,Hornetaur Razorwing,カンタロスの斬羽,爬虫的斩羽
HORNETAUR_SHELL,Hornetaur Shell,カンタロスの甲殻,爬虫的甲壳
HORNETAUR_WING,Hornetaur Wing,カンタロスの羽,爬虫的羽
HUNGER,Hunger,はらへり,饥饿
HUNGER_DOUBLED_MH1,Hunger x1.5 (x2),はらへり倍加,饥饿倍加
HUNGER_DOUBLED_MHG,Double Hunger,はらへり倍加×2,饥饿倍加×2
HUNGER_HALVED,Hunger Halved,はらへり半減,饥饿半减
HUNGER_NEGATED,Hunger Negated,はらへり無効,饥饿无效
HUNGER_X_1_5,Hunger x1.5,はらへり倍加×1.5,饥饿倍加×1.5
HUNTER,Hunter,ハンター,猎人
HUNTERS_CAP,Hunter's Cap,ハンターキャップ,猎人软帽
HUNTERS_CAP_PLUS,Hunter's Cap+,ハンターＧキャップ,猎人Ｇ软帽
HUNTERS_CAP_S,Hunter's Cap S,ハンターＳキャップ,猎人Ｓ软帽
HUNTERS_CAP_U,Hunter's Cap U,ハンターＵキャップ,猎人Ｕ软帽
HUNTERS_COAT,Hunter's Coat,ハンターコート,猎人围腰
HUNTERS_COAT_PLUS,Hunter's Coat+,ハンターＧコート,猎人Ｇ围腰
HUNTERS_COAT_S,Hunter's Coat S,ハンターＳコート,猎人Ｓ围腰
HUNTERS_COAT_U,Hunter's Coat U,ハンターＵコート,猎人Ｕ围腰
HUNTERS_GREAVES,Hunter's Greaves,ハンターグリーヴ,猎人胫甲
HUNTERS_GREAVES_PLUS,Hunter's Greaves+,ハンターＧグリーヴ,猎人Ｇ胫甲
HUNTERS_GREAVES_S,Hunter's Greaves S,ハンターＳグリーヴ,猎人Ｓ胫甲
HUNTERS_GREAVES_U,Hunter's Greaves U,ハンターＵグリーヴ,猎人Ｕ胫甲
HUNTERS_GUARDS,Hunter's Guards,ハンターガード,猎人护臂
HUNTERS_GUARDS_PLUS,Hunter's Guards+,ハンターＧガード,猎人Ｇ护臂
HUNTERS_GUARDS_S,Hunter's Guards S,ハンターＳガード,猎人Ｓ护臂
HUNTERS_GUARDS_U,Hunter's Guards U,ハンターＵガード,猎人Ｕ护臂
HUNTERS_HELM,Hunter's Helm,ハンターヘルム,猎人头铠
HUNTERS_HELM_PLUS,Hunter's Helm+,ハンターＧヘルム,猎人Ｇ头铠
HUNTERS_HELM_S,Hunter's Helm S,ハンターＳヘルム,猎人Ｓ头铠
HUNTERS_HELM_U,Hunter's Helm U,ハンターＵヘルム,猎人Ｕ头铠
HUNTERS_LEGGINGS,Hunter's Leggings,ハンターレギンス,猎人护胫
HUNTERS_LEGGINGS_PLUS,Hunter's Leggings+,ハンターＧレギンス,猎人Ｇ护胫
HUNTERS_LEGGINGS_S,Hunter's Leggings S,ハンターＳレギンス,猎人Ｓ护胫
HUNTERS_LEGGINGS_U,Hunter's Leggings U,ハンターＵレギンス,猎人Ｕ护胫
HUNTERS_MAIL,Hunter's Mail,ハンターメイル,猎人铠甲
HUNTERS_MAIL_PLUS,Hunter's Mail+,ハンターＧメイル,猎人Ｇ铠甲
HUNTERS_MAIL_S,Hunter's Mail S,ハンターＳメイル,猎人Ｓ铠甲
HUNTERS_MAIL_U,Hunter's Mail U,ハンターＵメイル,猎人Ｕ铠甲
HUNTERS_TASSET,Hunter's Tasset,ハンターフォールド,猎人腰甲
HUNTERS_TASSET_PLUS,Hunter's Tasset+,ハンターＧフォールド,猎人Ｇ腰甲
HUNTERS_TASSET_S,Hunter's Tasset S,ハンターＳフォールド,猎人Ｓ腰甲
HUNTERS_TASSET_U,Hunter's Tasset U,ハンターＵフォールド,猎人Ｕ腰甲
HUNTERS_VAMBRACES,Hunter's Vambraces,ハンターアーム,猎人臂甲
HUNTERS_VAMBRACES_PLUS,Hunter's Vambraces+,ハンターＧアーム,猎人Ｇ臂甲
HUNTERS_VAMBRACES_S,Hunter's Vambraces S,ハンターＳアーム,猎人Ｓ臂甲
HUNTERS_VAMBRACES_U,Hunter's Vambraces U,ハンターＵアーム,猎人Ｕ臂甲
HUNTERS_VEST,Hunter's Vest,ハンターレジスト,猎人轻甲
HUNTERS_VEST_PLUS,Hunter's Vest+,ハンターＧレジスト,猎人Ｇ轻甲
HUNTERS_VEST_S,Hunter's Vest S,ハンターＳレジスト,猎人Ｓ轻甲
HUNTERS_VEST_U,Hunter's Vest U,ハンターＵレジスト,猎人Ｕ轻甲
HUSKBERRY,Huskberry,カラの実,空心果
IMPORT_EXPORT_ARMOR,Import/Export Armor,,导入/导出防具组合
IODROME_HIDE,Iodrome Hide,ドスイーオスの皮,红速龙王的皮
IOPREY_CAP,Ioprey Cap,イーオスキャップ,红速龙软帽
IOPREY_CAP_PLUS,Ioprey Cap+,イーオスＧキャップ,红速龙Ｇ软帽
IOPREY_CAP_S,Ioprey Cap S,イーオスＳキャップ,红速龙Ｓ软帽
IOPREY_COAT,Ioprey Coat,イーオスコート,红速龙围腰
IOPREY_COAT_PLUS,Ioprey Coat+,イーオスＧコート,红速龙Ｇ围腰
IOPREY_COAT_S,Ioprey Coat S,イーオスＳコート,红速龙Ｓ围腰
IOPREY_GREAVES,Ioprey Greaves,イーオスグリーヴ,红速龙胫甲
IOPREY_GREAVES_PLUS,Ioprey Greaves+,イーオスＧグリーヴ,红速龙Ｇ胫甲
IOPREY_GREAVES_S,Ioprey Greaves S,イーオスＳグリーヴ,红速龙Ｓ胫甲
IOPREY_GUARDS,Ioprey Guards,イーオスガード,红速龙护臂
IOPREY_GUARDS_PLUS,Ioprey Guards+,イーオスＧガード,红速龙Ｇ护臂
IOPREY_GUARDS_S,Ioprey Guards S,イーオスＳガード,红速龙Ｓ护臂
IOPREY_HELM,Ioprey Helm,イーオスヘルム,红速龙头铠
IOPREY_HELM_PLUS,Ioprey Helm+,イーオスＧヘルム,红速龙Ｇ头铠
IOPREY_HELM_S,Ioprey Helm S,イーオスＳヘルム,红速龙Ｓ头铠
IOPREY_HIDE,Ioprey Hide,イーオスの皮,红速龙的皮
IOPREY_HIDE_PLUS,Ioprey Hide+,イーオスの上皮,红速龙的上皮
IOPREY_LEGGINGS,Ioprey Leggings,イーオスレギンス,红速龙护胫
IOPREY_LEGGINGS_PLUS,Ioprey Leggings+,イーオスＧレギンス,红速龙Ｇ护胫
IOPREY_LEGGINGS_S,Ioprey Leggings S,イーオスＳレギンス,红速龙Ｓ护胫
IOPREY_MAIL,Ioprey Mail,イーオスメイル,红速龙铠甲
IOPREY_MAIL_PLUS,Ioprey Mail+,イーオスＧメイル,红速龙Ｇ铠甲
IOPREY_MAIL_S,Ioprey Mail S,イーオスＳメイル,红速龙Ｓ铠甲
IOPREY_SCALE,Ioprey Scale,イーオスの鱗,红速龙的鳞
IOPREY_SCALE_PLUS,Ioprey Scale+,イーオスの上鱗,红速龙的上鳞
IOPREY_TASSET,Ioprey Tasset,イーオスフォールド,红速龙腰甲
IOPREY_TASSET_PLUS,Ioprey Tasset+,イーオスＧフォールド,红速龙Ｇ腰甲
IOPREY_TASSET_S,Ioprey Tasset S,イーオスＳフォールド,红速龙Ｓ腰甲
IOPREY_VAMBRACES,Ioprey Vambraces,イーオスアーム,红速龙臂甲
IOPREY_VAMBRACES_PLUS,Ioprey Vambraces+,イーオスＧアーム,红速龙Ｇ臂甲
IOPREY_VAMBRACES_S,Ioprey Vambraces S,イーオスＳアーム,红速龙Ｓ臂甲
IOPREY_VEST,Ioprey Vest,イーオスレジスト,红速龙轻甲
IOPREY_VEST_PLUS,Ioprey Vest+,イーオスＧレジスト,红速龙Ｇ轻甲
IOPREY_VEST_S,Ioprey Vest S,イーオスＳレジスト,红速龙Ｓ轻甲
IRON_BELT,Iron Belt,アイアンベルト,铁制腰带
IRON_BELT_PLUS,Iron Belt+,アイアンＧベルト,铁制Ｇ腰带
IRON_BELT_S,Iron Belt S,アイアンＳベルト,铁制Ｓ腰带
IRON_ORE,Iron Ore,鉄鉱石,铁矿石
JAPANESE,Japanese,日本語,日语
JEWEL_TICKET,Jewel Ticket,宝石券,宝石券
JOINER_GRASSHOPPER,Joiner Grasshopper,のりこねバッタ,粘着蝗虫
KELBI_HIDE,Kelbi Hide,ケルビの皮,精灵鹿的皮
KHEZU_CAP,Khezu Cap,フルフルキャップ,电龙软帽
KHEZU_CAP_PLUS,Khezu Cap+,フルフルＧキャップ,电龙Ｇ软帽
KHEZU_CAP_S,Khezu Cap S,フルフルＳキャップ,电龙Ｓ软帽
KHEZU_CAP_U,Khezu Cap U,フルフルＵキャップ,电龙Ｕ软帽
KHEZU_COAT,Khezu Coat,フルフルコート,电龙围腰
KHEZU_COAT_PLUS,Khezu Coat+,フルフルＧコート,电龙Ｇ围腰
KHEZU_COAT_S,Khezu Coat S,フルフルＳコート,电龙Ｓ围腰
KHEZU_COAT_U,Khezu Coat U,フルフルＵコート,电龙Ｕ围腰
KHEZU_COIN,Khezu Coin,フルフルのコイン,电龙的硬币
KHEZU_GREAVES,Khezu Greaves,フルフルグリーヴ,电龙胫甲
KHEZU_GREAVES_PLUS,Khezu Greaves+,フルフルＧグリーヴ,电龙Ｇ胫甲
KHEZU_GREAVES_S,Khezu Greaves S,フルフルＳグリーヴ,电龙Ｓ胫甲
KHEZU_GREAVES_U,Khezu Greaves U,フルフルＵグリーヴ,电龙Ｕ胫甲
KHEZU_GUARDS,Khezu Guards,フルフルガード,电龙护臂
KHEZU_GUARDS_PLUS,Khezu Guards+,フルフルＧガード,电龙Ｇ护臂
KHEZU_GUARDS_S,Khezu Guards S,フルフルＳガード,电龙Ｓ护臂
KHEZU_GUARDS_U,Khezu Guards U,フルフルＵガード,电龙Ｕ护臂
KHEZU_HELM,Khezu Helm,フルフルヘルム,电龙头铠
KHEZU_HELM_PLUS,Khezu Helm+,フルフルＧヘルム,电龙Ｇ头铠
KHEZU_HELM_S,Khezu Helm S,フルフルＳヘルム,电龙Ｓ头铠
KHEZU_HELM_U,Khezu Helm U,フルフルＵヘルム,电龙Ｕ头铠
KHEZU_HIDE_TAN,Khezu Hide - Tan,真珠色の柔皮,珍珠色的柔皮
KHEZU_LEGGINGS,Khezu Leggings,フルフルレギンス,电龙护胫
KHEZU_LEGGINGS_PLUS,Khezu Leggings+,フルフルＧレギンス,电龙Ｇ护胫
KHEZU_LEGGINGS_S,Khezu Leggings S,フルフルＳレギンス,电龙Ｓ护胫
KHEZU_LEGGINGS_U,Khezu Leggings U,フルフルＵレギンス,电龙Ｕ护胫
KHEZU_MAIL,Khezu Mail,フルフルメイル,电龙铠甲
KHEZU_MAIL_PLUS,Khezu Mail+,フルフルＧメイル,电龙Ｇ铠甲
KHEZU_MAIL_S,Khezu Mail S,フルフルＳメイル,电龙Ｓ铠甲
KHEZU_MAIL_U,Khezu Mail U,フルフルＵメイル,电龙Ｕ铠甲
KHEZU_TASSET,Khezu Tasset,フルフルフォールド,电龙腰甲
KHEZU_TASSET_PLUS,Khezu Tasset+,フルフルＧフォールド,电龙Ｇ腰甲
KHEZU_TASSET_S,Khezu Tasset S,フルフルＳフォールド,电龙Ｓ腰甲
KHEZU_TASSET_U,Khezu Tasset U,フルフルＵフォールド,电龙Ｕ腰甲
KHEZU_VAMBRACES,Khezu Vambraces,フルフルアーム,电龙臂甲
KHEZU_VAMBRACES_PLUS,Khezu Vambraces+,フルフルＧアーム,电龙Ｇ臂甲
KHEZU_VAMBRACES_S,Khezu Vambraces S,フルフルＳアーム,电龙Ｓ臂甲
KHEZU_VAMBRACES_U,Khezu Vambraces U,フルフルＵアーム,电龙Ｕ臂甲
KHEZU_VEST,Khezu Vest,フルフルレジスト,电龙轻甲
KHEZU_VEST_PLUS,Khezu Vest+,フルフルＧレジスト,电龙Ｇ轻甲
KHEZU_VEST_S,Khezu Vest S,フルフルＳレジスト,电龙Ｓ轻甲
KHEZU_VEST_U,Khezu Vest U,フルフルＵレジスト,电龙Ｕ轻甲
KING_ROOM,King Room,キング,国王套房
KING_SCARAB,King Scarab,王族カナブン,王族花金龟
KO_DOUBLED_MH1,Faint x 2,気絶倍加,气绝倍加
KO_DOUBLED_MHG,Stun Doubled,気絶倍加,气绝倍加
KO_HALVED_MH1,Faint Halved,気絶確率半減,气绝概率半减
